id,y_2013,y_2020,y_2021,y_2022,y_2023
2,6.6336,5.89,7.74,7.677161767,6.71
3,24.3874,27.18,35.25,25.3437883,26.45
4,6.2499,7.42,7.97,6.918133846,4.91
5,2.5535,2.67,3.35,3.04192131,2.27
6,8.7632,8.84,11.41,9.239745744,7.68
7,7.4201,8.44,8.35,5.504445597,4.79
8,6.6115,5.95,7.69,7.0539884310000005,6.49
9,2.8989,4.38,4.64,4.54510157,3.5
10,20.2939,20.09,24.31,19.943677479999998,18.63
11,10.1209,12.87,12.91,10.461006500000002,11.23
12,,,,,
13,7.6567,8.63,9.67,7.6299762090000005,7.42
14,8.3002,11.54,9.89,10.11270764,9.54
15,9.9022,11.71,13.69,11.591849230000001,11.28
16,14.1808,18.8,19.68,18.52802058,17.08
17,11.6715,11.87,13.11,9.970177498,10.95
18,10.6804,13.38,14.57,13.52139101,12.41
19,19.1393,20.52,19.38,20.3267392,17.93
20,9.561,10.49,11.01,9.466362892,7.99
21,4.5331,4.83,5.11,4.915120365,4.58
22,2.6457,2.8,2.79,2.231954623,2.36
23,2.604,3.49,3.17,3.6527421349999996,3.2
24,4.5383,3.84,5.31,4.396490861,4.22
25,12.0253,15.47,16.52,16.23980259,12.17
26,,,,,
27,8.4655,9.36,10.76,10.65083431,8.33
28,4.8502,5.76,7.45,6.120303724,5.68
29,6.5878,7.16,6.65,6.547964598,6.74
30,1.5399,1.39,1.88,1.655831037,1.55
31,8.4826,8.56,9.22,11.45033551,7.16
32,1.8877,2.22,2.47,1.62873088,1.63
33,0.383,0.5,0.62,0.46622878970000003,0.45
34,8.3923,15.09,15.59,15.55395892,15.01
35,,,,,
36,13.2749,14.49,14.86,9.03819129,13.85
37,7.7548,9.2,9.64,8.134652541000001,8.0
38,8.7825,9.64,10.98,8.222085109,9.54
39,11.629,13.39,16.17,14.75424633,13.35
40,6.2093,10.46,13.79,14.43512259,9.34
41,4.7357,4.72,5.41,4.996457102,4.48
42,6.6422,5.82,7.12,7.889551696,6.02
43,6.3889,5.49,7.15,6.022467792,5.07
44,2.6529,2.29,3.96,2.095938497,2.18
45,11.2883,15.65,14.77,15.03002103,12.5
46,5.1282,5.76,5.96,5.226645499,4.96
47,0.256,0.39,0.27,0.2749227721,0.29
48,0.3537,0.34,0.36,0.5111884195999999,0.48
49,3.4809,4.28,5.23,5.645584626,4.69
50,6.3765,8.37,9.32,8.980331517,7.56
51,4.858,5.96,7.63,6.5509707189999995,5.28
52,2.7978,2.09,2.84,2.9462166300000003,2.06
53,7.9016,7.95,8.84,6.6564287779999995,5.7
54,7.6759,8.88,10.43,7.534889333,7.2
55,11.6953,11.24,12.79,9.64918365,8.63
56,2.747,2.79,2.45,1.815280132,2.98
57,1.4189,2.8,2.96,3.016571953,2.67
58,3.7975,3.93,7.33,4.195116194,4.33
59,5.5689,5.73,9.1,6.64557375,5.72
60,2.5224,2.36,2.6,2.532343976,2.49
61,3.0745,3.19,3.94,4.062734299,3.93
62,,,,,
64,3.6739,2.2,2.42,3.048623809,3.03
65,,0.13,0.09,0.05920928762,0.07
66,0.3979,0.33,0.67,0.7331977023999999,0.48
67,,,,0.02352821153,0.02
68,4.868,6.68,7.45,6.616979725999999,5.56
69,4.8787,5.17,4.36,3.345998005,3.34
70,6.2733,6.33,7.61,5.828652571999999,4.18
71,3.2158,3.35,4.14,3.340478655,2.45
72,2.3124,2.9,2.73,3.517185725,2.74
73,8.2266,10.42,9.78,8.260680056,9.01
74,4.209,5.77,6.18,5.887331336,4.51
75,2.6099,4.03,4.53,5.1565979760000005,2.84
76,4.2826,5.5,5.97,4.987044954,5.28
77,6.4847,7.27,8.14,7.993830634,7.65
78,6.8249,7.09,6.68,3.806683489,3.53
79,,,,,
80,1.0601,0.36,0.3,0.2937395077,0.2
81,3.1755,3.64,4.2,4.0308388079999995,3.33
82,3.0875,5.08,5.98,4.859295704,4.33
83,,,,,
84,,,,,
85,7.2001,8.6,8.93,8.210994929,6.81
86,0.8313,1.09,1.52,1.0977512090000001,1.07
87,4.4385,3.87,3.73,3.647525227,3.76
88,5.3355,6.08,7.49,6.683529248,6.56
89,6.9317,7.34,9.64,8.473721169000001,7.07
90,4.9779,4.39,4.87,4.840177072,4.14
91,9.3885,10.08,17.02,8.356589229,9.03
92,,,,0.037771922240000005,0.03
