id,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021,y_2022,y_2023
2,0.11,,0.09,0.1,0.54,0.28,0.11,0.14,0.15
3,0.06,0.2,0.16,0.22,0.37,0.15,0.48,0.38,0.53
4,,0.06,0.06,,0.28,0.11,0.09,0.11,0.13
5,0.09,0.12,0.08,,,,0.06,0.15,0.06
6,0.2,0.15,0.14,0.16,0.13,,0.14,0.14,0.18
7,,,,,,,0.09,,
8,,,,,,,0.11,0.05,0.05
9,,,,,,,,,
10,0.15,0.18,0.21,0.16,0.2,,0.13,0.23,0.15
11,0.07,0.07,0.14,,0.27,0.13,0.3,0.31,0.26
12,0.24,0.26,0.35,0.3,0.43,0.3,0.39,0.3,0.4
13,0.13,0.1,,,0.16,0.15,0.3,0.28,0.17
14,0.34,0.34,0.28,0.2,0.28,0.28,0.48,0.51,0.33
15,,0.06,0.07,0.16,,,0.12,0.15,0.19
16,0.37,0.29,0.39,0.44,0.73,0.49,0.54,0.53,0.63
17,0.3,0.29,0.32,0.47,0.36,0.31,0.3,0.42,0.44
18,0.1,0.12,0.11,0.23,0.4,0.21,0.3,0.32,0.37
19,0.15,0.12,0.19,0.2,0.25,0.14,0.32,0.21,0.25
20,0.2,0.24,0.24,0.24,0.32,0.26,0.24,0.26,0.32
21,0.21,0.15,0.3,0.3,0.23,0.14,0.24,0.3,0.24
22,,,,,,,,,
23,0.05,0.08,0.05,,0.18,,,0.14,0.14
24,0.06,0.07,0.08,,,,0.08,0.05,0.05
25,0.37,0.42,0.4,0.38,0.33,0.34,0.48,0.38,0.51
26,0.24,0.22,0.27,0.23,0.24,0.21,0.18,0.23,0.19
27,0.3,0.46,0.42,0.35,0.48,0.57,0.44,0.43,0.48
28,,,0.05,0.11,0.14,,0.18,0.19,0.08
29,0.11,0.09,0.14,,0.18,,0.1,0.19,0.1
30,0.2,0.13,0.09,0.14,0.15,0.18,,0.15,0.15
31,0.1,0.09,0.07,,0.15,,0.26,0.15,0.14
32,,,,,,,,,
33,,,0.05,,,,0.07,0.09,0.11
34,0.09,0.2,0.22,0.28,0.34,0.18,0.36,0.43,0.68
35,0.05,,0.08,0.11,0.19,0.13,0.14,0.17,0.13
36,0.06,0.09,0.14,,0.11,,0.2,0.21,0.12
37,0.17,0.11,0.11,,,,0.09,0.11,0.08
38,0.15,0.1,0.09,,0.2,0.22,0.21,0.14,0.2
39,0.23,0.49,0.36,0.34,0.41,0.41,0.39,0.44,0.52
40,0.2,0.17,0.29,0.47,0.32,0.28,0.25,0.43,0.29
41,0.09,0.11,0.13,0.13,,,0.2,0.1,0.09
42,0.08,0.1,0.06,,0.21,0.12,0.32,0.25,0.18
43,,0.1,0.14,,0.2,,0.14,0.15,0.15
44,,,,,,,,0.05,
45,0.28,0.22,0.37,0.38,0.49,0.42,0.58,0.44,0.48
46,0.12,0.12,0.2,0.19,0.17,0.26,0.2,0.18,0.22
47,,,,,,,,,
48,0.3,0.23,0.17,0.18,0.13,0.21,0.22,0.28,0.33
49,0.16,0.2,0.18,0.16,0.23,0.13,0.19,0.41,0.22
50,0.32,0.26,0.27,0.3,0.52,0.36,0.34,0.53,0.4
51,,,,,,,,,0.05
52,0.13,0.11,,0.14,,,0.1,0.17,0.31
53,0.22,0.31,0.15,,0.22,0.31,0.37,0.34,0.48
54,0.21,0.24,0.15,,0.25,0.23,0.2,0.35,0.33
55,0.08,0.08,0.13,0.12,0.14,,0.16,0.19,0.07
56,0.12,0.05,0.13,,0.11,0.12,,0.05,0.09
57,0.2,0.09,0.23,0.21,0.21,0.18,0.22,0.16,0.28
58,0.14,0.13,0.13,0.15,0.16,0.19,0.18,0.2,0.26
59,0.14,0.23,0.16,0.23,0.19,0.15,0.17,0.18,0.26
60,0.07,0.1,0.14,,0.15,0.12,0.14,0.16,0.23
61,0.07,0.12,,,,,0.09,0.09,0.15
62,,,,,,,,,
64,0.12,0.12,0.12,0.18,0.22,0.14,0.2,0.18,0.19
65,,,,,,,0.07,0.05,0.17
66,,0.06,,,,,0.11,0.12,0.08
67,,,,,,,,,0.07
68,0.29,0.22,0.27,0.3,0.31,0.2,0.31,0.37,0.34
69,0.05,,0.05,0.1,0.12,,0.2,0.08,0.15
70,0.09,0.07,,0.11,0.12,0.12,0.1,0.14,0.14
71,0.3,0.24,0.18,0.13,0.14,0.15,0.33,0.37,0.55
72,0.13,0.15,0.22,0.11,0.21,0.22,0.19,0.27,0.28
73,0.24,0.17,0.26,0.18,0.4,0.37,0.32,0.43,0.52
74,0.05,0.05,0.05,,,,,0.05,
75,0.17,0.13,0.15,0.19,0.37,0.16,0.39,0.44,0.48
76,0.18,0.34,0.37,0.23,0.37,0.28,0.27,0.33,0.52
77,0.56,0.5,0.57,0.39,0.6,0.47,0.73,0.58,0.8
78,0.17,0.21,0.18,0.22,0.23,0.29,0.2,0.21,0.28
79,0.11,0.13,0.07,,,,0.17,0.28,0.33
80,0.08,0.06,0.06,,,,0.08,0.1,0.07
81,0.11,0.09,0.08,0.12,0.12,0.11,0.12,0.11,0.07
82,0.22,0.32,0.24,0.27,0.28,0.3,0.34,0.24,0.36
83,0.15,0.16,0.19,0.12,0.26,0.16,0.32,0.29,0.46
84,0.05,,,,,,,,
85,,0.24,0.17,0.14,0.19,0.18,0.22,0.31,0.21
86,0.16,0.24,0.27,0.19,0.26,0.2,0.16,0.19,0.27
87,0.11,0.09,0.07,,,,,0.08,
88,0.11,0.15,0.14,0.14,0.16,0.16,0.12,0.23,0.16
89,0.15,0.2,0.15,0.17,0.19,0.17,0.19,0.16,0.2
90,,0.12,0.13,,,,0.13,0.08,0.12
91,0.27,0.36,0.31,0.27,0.28,0.24,0.25,0.33,0.25
92,,0.07,0.09,0.12,,0.11,0.17,0.09,0.1
93,0.18,0.18,0.12,0.18,0.19,,0.13,0.09,0.22
94,0.14,0.09,0.16,,0.12,0.16,0.18,0.22,0.26
95,0.18,0.11,0.13,0.17,0.15,0.19,0.22,0.12,0.11
96,0.39,0.29,0.39,0.37,0.37,0.36,0.42,0.5,0.56
97,0.3,0.23,0.33,0.24,0.33,0.29,0.4,0.31,0.3
