id,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
2,0.18,0.08,0.12,0.14,0.1,0.2,0.21,0.1,0.12,0.1,0.12
3,0.24,0.35,0.21,0.21,0.37,0.38,0.33,0.33,0.38,0.43,0.38
4,0.05,0.06,0.09,0.08,0.12,0.2,0.17,0.09,0.11,0.06,0.1
5,0.05,0.1,0.08,0.1,0.13,,,0.08,0.08,0.07,0.06
6,0.16,0.21,0.18,0.25,0.16,0.21,0.19,0.14,0.05,0.16,0.21
7,0.06,0.07,0.12,,0.11,0.12,,0.09,0.14,0.18,0.08
8,,,,,,,,0.06,0.06,0.11,0.12
9,,,,,,,,,,,
10,0.34,0.25,0.23,0.24,0.26,,,0.11,0.21,0.19,0.16
11,0.1,0.18,0.12,0.1,0.13,0.19,0.2,0.26,0.15,0.3,0.22
12,0.29,0.2,0.27,0.36,0.37,0.21,0.23,0.44,0.38,0.44,0.36
13,0.22,0.14,0.1,0.13,0.12,,0.13,0.2,0.17,0.19,0.29
14,0.38,0.36,0.32,0.47,0.41,0.54,0.45,0.56,0.38,0.52,0.53
15,0.1,0.11,0.12,0.08,0.16,,0.18,0.12,0.15,0.11,0.11
16,0.5,0.45,0.4,0.47,0.41,0.46,0.52,0.47,0.39,0.37,0.5
17,0.4,0.42,0.26,0.33,0.4,0.31,0.38,0.35,0.27,0.32,0.29
18,0.17,0.11,0.18,0.22,0.22,0.31,0.27,0.31,0.33,0.21,0.3
19,0.27,0.15,0.25,0.31,0.23,0.32,0.31,0.18,0.29,0.26,0.28
20,0.28,0.27,0.33,0.2,0.34,0.23,0.29,0.35,0.29,0.27,0.3
21,0.11,0.21,0.2,0.29,0.26,0.11,0.14,0.26,0.25,0.15,0.25
22,0.06,,,,,,,0.06,,,
23,0.17,0.11,0.09,0.09,0.14,,,0.15,0.12,0.08,0.1
24,0.13,0.09,0.09,0.13,0.12,,,0.1,0.07,0.07,
25,0.21,0.41,0.32,0.36,0.45,0.46,0.33,0.37,0.34,0.49,0.48
26,0.4,0.39,0.35,0.25,0.22,0.25,0.29,0.24,0.29,0.28,0.15
27,0.45,0.26,0.38,0.36,0.42,0.41,0.38,0.41,0.57,0.35,0.44
28,,0.06,0.05,0.08,,,0.14,0.13,0.1,0.08,0.15
29,0.05,0.14,0.09,0.13,0.11,0.13,,0.18,0.09,0.11,0.12
30,0.24,0.14,0.14,0.19,0.15,0.13,0.15,0.24,0.16,0.11,0.25
31,0.15,0.14,0.21,0.19,0.2,0.18,,0.21,0.18,0.15,0.23
32,0.05,,,,,,,,,,
33,0.08,,0.05,0.1,,,,0.05,0.06,0.06,0.07
34,0.22,0.23,0.15,0.21,0.2,0.22,0.21,0.37,0.29,0.39,0.42
35,0.17,0.06,0.12,0.11,,0.11,0.11,0.22,0.14,0.1,0.2
36,0.26,0.12,0.21,0.11,0.17,0.15,0.11,0.16,0.13,0.1,0.2
37,0.13,0.2,0.16,0.08,0.17,,0.13,0.09,0.07,0.12,0.07
38,0.32,0.2,0.23,0.19,0.24,0.25,0.2,0.17,0.21,0.13,0.21
39,0.48,0.38,0.36,0.38,0.46,0.32,0.36,0.5,0.53,0.4,0.38
40,0.4,0.31,0.17,0.3,0.33,0.17,0.25,0.41,0.38,0.21,0.23
41,0.06,0.18,0.16,0.19,0.19,,,0.08,0.11,0.1,0.1
42,0.11,0.07,0.1,0.13,0.1,0.15,0.15,0.18,0.17,0.13,0.23
43,0.15,0.09,0.07,0.13,0.13,0.14,,0.17,0.19,0.15,0.16
44,,,,,,,,,,,
45,0.25,0.19,0.15,0.32,0.29,0.41,0.53,0.57,0.56,0.49,0.55
46,0.25,0.24,0.2,0.15,0.18,0.21,0.19,0.29,0.19,0.16,0.23
47,,,,,,,,,,,
48,0.27,0.27,0.23,0.34,0.27,0.13,0.14,0.12,0.23,0.23,0.22
49,0.24,0.26,0.26,0.26,0.34,0.24,0.26,0.24,0.19,0.18,0.2
50,0.52,0.39,0.24,0.42,0.45,0.26,0.32,0.48,0.42,0.25,0.31
51,0.05,,,0.05,,,,,,,
52,0.21,0.17,0.15,0.17,0.14,,,0.22,0.2,0.16,0.12
53,0.29,0.25,0.3,0.34,0.3,0.33,0.29,0.33,0.34,0.28,0.29
54,0.16,0.18,0.16,0.28,0.27,0.13,0.24,0.2,0.27,0.18,0.17
