id,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021,y_2022,y_2023
2,2.27,2,1.65,2.01,2.32,7.92,7.84,1.79,2.82,3.03
3,4.32,4.23,4.02,5.51,4.45,5.86,5.82,5.03,6.35,6.49
4,1.23,1.08,1.1,1.3,1.42,3.02,3.19,1.29,1.59,1.46
5,1.58,1.4,1.53,1.84,1.83,0.87,0.93,1.26,1.53,1.41
6,3.05,2.94,2.51,3.21,2.85,3.21,2.95,2.08,2.74,3.12
7,0.89,0.86,0.71,0.74,0.77,1,0.98,0.75,0.95,0.85
8,0.72,0.65,0.66,0.74,0.75,0.71,0.74,0.77,1.12,1.11
9,0.43,0.25,0.29,0.45,0.28,0.56,0.46,0.36,0.54,0.71
10,5.07,3.95,3.47,4.14,3.86,3.24,3.01,3.28,3.91,3.38
11,2.84,3.01,2.66,3.44,3.42,3.58,3.59,3.08,3.72,3.78
12,4.39,4.43,4.35,5.61,5.83,5.56,5.97,5.81,7.03,6.83
13,3.08,2.99,2.57,3.31,3.71,3.87,3.83,3.87,4.83,5.06
14,6.14,5.04,4.86,5.63,5.43,5.39,5.29,4.94,6.26,6.05
15,1.97,1.61,1.62,1.71,1.68,1.43,1.5,1.62,1.93,1.95
16,7.31,6.92,6.4,8.07,7.88,11.86,12.29,7.82,9.72,9.51
17,5.34,5.43,4.88,5.98,5.66,5.87,5.76,5.06,6.17,6.36
18,2.87,2.89,3.05,3.59,3.79,4.55,4.29,2.92,4.29,4.32
19,3.57,3.13,3.03,3.34,3.53,3.22,2.97,2.93,3.61,3.44
20,4.3,3.59,3.25,4.44,4.04,3.99,3.94,3.88,5.02,5.47
21,5.12,4.74,4.47,5.7,5.03,3.33,3.41,3.94,5.16,4.91
22,0.55,0.51,0.37,0.43,0.43,0.44,0.44,0.31,0.41,0.37
23,2.44,1.93,1.91,2.37,2.26,1.83,1.84,1.69,2.18,2.39
24,1.7,1.53,1.39,1.4,1.21,0.76,0.8,1.12,0.92,0.88
25,4.77,4.67,4.15,5.27,5.63,5.41,5.48,4.96,5.78,5.49
26,4.47,3.76,3.14,3.34,3.28,3.6,3.37,2.88,3.29,3.26
27,5.49,5.25,5.19,5.86,6.07,5.68,5.44,5.08,5.87,5.45
28,1.15,1.23,1.13,1.28,1.41,1.23,1.13,0.9,1.07,1.01
29,1.24,1.27,1.1,1.44,1.43,1.58,1.58,1.3,1.74,1.76
30,3.1,3.12,2.75,3.25,3.25,3.01,2.95,2.76,3.07,3.59
31,2.24,2.12,2.08,2.37,2.4,2.41,2.67,2.47,2.81,2.7
32,0.24,0.2,0.2,0.18,0.18,0.17,0.14,0.13,0.19,0.22
33,1.12,0.88,1.02,1.3,1.17,1.34,1.46,1.56,2.15,2.11
34,3.85,3.26,3.07,3.73,4.37,5.23,6,6.22,8.15,8.57
35,1.98,1.9,1.62,2.09,2.08,2.35,2.22,2.25,2.89,3.25
36,2.07,1.83,1.78,2.16,2,1.93,2.04,1.88,2.19,2.02
37,2.46,2.38,1.92,2.01,2.07,2.02,1.98,1.5,1.87,1.91
38,2.99,2.46,2.07,2.22,2.23,3.5,3.44,2.05,3,3.13
39,6.01,5.4,5.1,6.01,5.68,5.56,5.64,4.84,5.92,5.66
40,5.38,4.63,4.23,4.95,4.72,4.4,4.21,4.08,4.8,4.87
41,1.78,1.66,1.7,1.96,1.73,0.93,0.93,1.29,1.58,1.67
42,2.94,2.58,2.23,3.21,3.24,3.81,3.62,3.44,4.08,3.75
43,2.13,1.88,1.85,2.31,2.33,2.36,2.09,1.76,2.28,2.32
44,0.5,0.47,0.47,0.61,0.73,0.59,0.6,0.96,1.14,1.21
45,4.8,4.71,4,5.21,6.41,7.1,7.91,7.39,8.98,7.61
46,3.1,2.88,2.37,2.59,2.68,3.02,3.03,2.79,3.96,3.82
47,0.4,0.29,0.18,0.39,0.3,0.56,0.57,0.45,0.56,0.54
48,4.21,3.59,3.51,4.05,3.6,3.47,3.39,3.46,4.07,3.86
49,3.53,3.09,2.87,3.47,3.53,4.23,4.17,3.42,4.54,4.61
50,7.4,5.82,5.39,7.53,7.03,8.05,8.44,6.27,7.42,7.33
51,0.51,0.45,0.36,0.42,0.4,0.43,0.36,0.4,0.53,0.68
52,4.98,4.47,2.39,2.97,3.38,1.91,1.68,2.95,4.07,3.94
53,5.56,5.71,5.19,7.29,7,10.06,10.26,6.86,8.62,9.56
54,3.75,3.46,3.37,4.24,4.21,4.27,4.24,4.08,4.99,4.82
55,2.11,1.66,1.54,1.96,1.92,1.83,1.84,1.46,1.97,1.79
56,1.18,1.05,0.97,1.15,1.1,1.14,1.12,1.08,1.21,1.17
57,2.67,2.66,2.63,3.74,3.42,3.69,3.98,3.56,4.59,4.81
58,1.76,2.61,2.54,3.12,2.89,2.91,2.74,2.81,3.57,3.46
59,3.92,3.55,3.44,4.01,4.42,4.38,4.24,3.71,4.56,4.71
60,2.11,2.22,1.88,2.5,2.26,2.36,2.26,2.2,2.89,3.04
61,1.35,1.21,1.14,1.17,1.04,1.16,1.38,1.11,1.42,1.47
62,,,,,,,,,,
64,2.87,2.42,2.1,3.01,2.82,2.64,2.87,2.79,3.97,3.9
65,0.86,0.72,0.58,0.95,1.11,1.17,1.13,1.33,2.32,2.37
66,1.31,0.98,0.69,1.01,1.04,0.97,1,1.14,1.65,1.95
67,0.58,0.33,0.29,0.48,0.44,0.58,0.68,0.86,1.82,1.79
68,4.53,4.18,3.54,4.14,4.5,4.13,3.81,4,5.01,5.25
69,1.14,1.2,1.06,1.33,1.39,0.98,1.02,1.25,1.51,1.44
70,2.25,1.56,1.43,1.57,1.78,2.55,2.45,1.58,1.96,2.12
71,7.68,7.51,6.1,7.99,7.63,5.81,6.38,8.58,10.37,10.01
72,2.02,1.89,1.68,2.23,2.75,2.87,3.03,3.22,4.36,3.97
73,5.15,4.77,4.59,5.46,5.13,5.37,5.5,5.65,7.22,7.07
74,0.82,0.88,0.68,0.64,0.65,0.36,0.37,0.31,0.78,0.83
75,3.43,3.18,2.92,3.56,3.75,3.87,3.98,4.52,5.84,5.71
76,4.17,4.22,4.03,4.95,4.86,4.93,5.1,4.85,6.33,6.49
77,9.48,8.82,7.82,9.52,10.01,9.79,9.69,8.65,11.23,11.81
78,3.36,3.1,2.78,3.29,3.69,3.36,3.44,3.05,4.1,3.84
79,4.46,4.19,3.58,5.25,4.77,3.56,3.56,5.6,6.77,6.43
80,1.75,1.55,1.4,1.57,1.74,2.04,1.75,1.56,2.07,1.8
81,1.8,1.62,1.43,1.6,1.58,1.58,1.48,1.38,1.77,1.57
82,3.68,3.5,3.17,4.24,4.2,4.32,4.4,3.68,4.64,4.57
83,3.55,3.96,3.77,4.61,4.47,4.53,4.56,4.12,4.86,4.75
84,0.34,0.6,0.52,0.59,0.57,0.82,0.83,0.52,0.43,0.55
85,4.22,3.53,3.12,3.52,3.47,3.4,3.2,3.02,3.71,3.31
86,4.03,3.54,3.29,4.72,4.48,4.51,3.89,3.34,4.5,4.78
87,2.63,2.43,1.88,1.62,0.93,0.92,0.86,0.61,1.27,1.07
88,2.15,2.34,2.21,2.82,2.7,2.69,2.6,2.34,3.07,2.92
89,2.66,2.39,2.38,2.78,2.69,3.12,3.14,2.4,2.86,2.96
90,2.7,2.32,2.13,2.55,2.52,0.93,1.03,1.32,2.48,2.48
91,4.58,4.33,4.23,4.83,4.4,4.08,4,3.45,4.48,4.59
92,0.89,0.89,0.75,1.24,1.43,1.5,1.4,1.36,1.97,2
93,2.36,2.12,1.91,2.36,2.59,2.4,2.12,1.97,2.62,3.2
94,1.98,2.14,1.82,2.11,2.08,1.81,2.07,2.46,3.38,3.41
95,2.34,2.26,2.07,2.25,2.17,2.32,2.22,2.31,3.01,3
96,5.31,4.75,4.54,5.74,5.67,5.43,6.05,5.58,6.96,6.74
97,5.32,5.2,4.47,4.96,4.85,4.81,4.8,4.42,5.12,5.23
98,4.65,4.76,4.41,5.07,5.92,6.67,6.46,6.01,7.77,7.96
99,2.04,1.69,1.8,2.14,2.08,2.13,2.22,1.97,2.37,2.24
100,3.39,2.99,2.69,3.33,3.28,2.75,2.58,2.82,3.26,3.05
101,4.52,4.57,3.84,4.85,4.44,4.57,4.82,4.53,5.44,5.38
102,3.04,2.78,2.5,3.01,2.5,2.15,2.03,2.55,3.14,3.07
103,3.3,2.87,2.66,3.26,3.2,2.94,3.22,2.37,3.04,2.84
105,1.17,1.1,1.17,1.24,1.33,1.47,1.39,1.27,1.56,1.51
106,2.67,2.86,2.26,2.97,2.81,1.26,1.11,2.79,3.56,3.45
107,4.18,3.86,3.61,4.36,3.97,4.77,4.65,3.49,4.15,4.01
108,2.47,2.18,2.16,2.56,2.49,2.39,2.31,2.5,3.14,3.11
109,2.57,2.65,2.59,2.88,2.04,2.48,2.23,2.47,3.13,2.83
110,2.49,2.45,2.05,2.34,2.1,2.5,2.52,2.1,2.85,2.92
111,4.39,4.12,3.93,4.97,5.68,6.49,7.49,7.76,9.43,9.95
112,2.15,1.91,1.83,2.59,2.75,2.64,2.65,2.12,2.86,2.99
113,8.13,7.47,7.07,8.49,8.08,8.3,8.01,7.45,9.1,9.42
114,1.62,1.58,1.64,2.15,2.69,2.54,2.58,3.2,4.08,3.97
115,9.61,9.88,9.33,12.09,12.53,13.12,12.88,11.76,14.07,13.28
116,6.52,6.19,5.54,7.39,7.36,6.98,7.76,7.75,10.36,11.12
117,7.77,7.75,7.47,8.9,8.85,9.6,9.93,9.33,11.49,11.28
118,1.95,1.73,1.43,1.7,1.86,1.88,1.89,1.76,2.08,2.05
119,2.58,2.2,2.21,2.34,2.13,1.87,1.89,2.92,3.64,3.71
120,2.73,2.84,2.7,3.6,3.43,2.87,2.99,3.08,4,4.06
121,4.64,4.02,4.03,4.92,5.1,4.92,4.74,4.89,5.6,5.73
122,,,,,,,,,,
123,3.56,3.67,3.49,4.17,4.17,3.8,3.69,3.06,3.89,3.82
124,3.11,2.46,2.58,2.88,2.99,2.75,2.61,2.57,3.72,4.03
125,6.13,5.65,5.86,6.5,5.95,5.77,5.83,5.59,7.08,7.4
126,0.53,0.74,0.67,0.91,0.83,1.12,1.13,1.59,1.97,2.08
127,3.5,3.45,2.98,4.53,3.4,3.17,3.69,5.04,5.77,6.07
128,4.39,5.15,4.95,5.74,5.23,4.51,4.26,4.39,5.57,5.75
129,2.26,2.25,2.06,2.28,2.33,2.33,2.33,1.95,2.18,2.09
130,1.35,1.26,1.07,1.31,1.5,1.46,1.48,1.7,2.38,2.56
131,3.07,3.04,3,3.49,3.39,3.38,3.61,3.39,4.01,3.84
132,0.28,0.18,0.16,0.19,0.21,0.84,0.65,0.27,0.35,0.36
133,1.05,0.98,0.92,1.05,1.22,0.99,0.98,1.08,1.48,1.52
134,1.97,1.68,1.69,1.86,1.85,2.25,2.22,1.98,2.34,2.31
135,1.74,1.2,1.03,2.21,2.2,4.57,4.67,2.47,3.04,3.3
136,2.16,2.08,1.71,2.13,2.32,2.26,1.87,1.95,2.67,2.81
137,5.1,3.4,4.58,5.9,5.68,3.65,3.72,5.59,6.76,5.81
138,1.49,1.44,1.39,1.79,1.95,3.04,2.96,1.48,1.95,1.75
139,2.6,2.39,2.43,2.4,2.02,1.8,1.89,1.76,2.66,2.5
140,4.34,4.72,4.65,5.15,5.12,4.06,4.31,4.65,6.09,5.71
141,1.62,1.62,1.45,1.9,1.55,1.34,1.4,1.32,1.54,1.4
142,3.93,3.43,3.31,4.12,4.4,4.3,4.13,4.05,4.87,5.19
143,1.28,1.46,1.39,1.7,1.86,1.78,2,1.71,2.08,1.9
144,5.4,4.5,4.14,5.42,5.17,4.62,4.14,4,5,5.47
145,4.21,4.37,3.97,4.85,4.56,4.2,4.13,4.42,5.03,3.99
146,3.35,3.44,3.3,3.8,3.38,2.95,2.93,3.24,3.74,3.66
147,3.33,3.08,2.89,3.76,4.1,3.65,3.53,3.91,4.71,4.83
148,3.75,3.26,2.98,3.91,4.11,3.79,3.68,3.4,4.03,3.92
149,1.09,1.21,1.21,1.33,1.39,1.43,1.35,1.48,1.78,1.94
150,3.62,3.56,3.5,4.13,4.03,4.32,4.09,3.17,4.27,4.59
151,8.85,8.01,7.2,8.96,9.19,9.05,8.65,7.73,8.93,8.86
152,1.68,1.54,1.4,1.59,1.5,1.59,1.52,1.4,1.63,1.64
153,7.33,6.45,5.78,6.57,6.52,6.16,6.09,5.57,6.99,7.1
154,5.54,4.28,3.85,4.25,4.4,4.94,4.75,3.66,4.98,4.69
155,4.21,3.72,2.93,4,4.35,4.13,4.11,4.51,5.73,6.11
156,6.98,6.53,6.07,7.18,6.78,6.47,6.1,6.75,9.16,9.31
157,3.7,2.64,2.02,2.88,2.22,1.4,1.44,1.36,1.66,1.41
158,7.98,7.45,7.13,7.87,7.65,7.5,7.12,6.84,7.93,7.68
159,2.24,1.91,2,2.2,2.35,2.53,2.54,1.97,2.3,2.05
160,6.28,5.89,4.93,5.74,5.77,5.12,5.02,4.97,5.79,5.41
161,4.73,3.64,3.08,3.57,3.71,3.63,3.98,3.8,5.21,4.58
162,3.98,3.63,3.06,3.8,3.77,4.17,4.03,3.55,4.19,4.27
163,1.07,0.94,0.99,1.06,0.76,0.86,1.08,1.31,1.44,1.36
164,8.25,7.7,6.75,9.67,9.33,6.03,6.05,7.71,10.42,10.02
165,5.04,4.33,4.02,4.97,5.17,4.78,4.74,4.16,5.02,5.15
166,1.67,1.65,1.27,1.74,1.9,2.33,2.22,2.3,2.33,2.41
167,1.34,1.09,0.96,1.26,1.26,1.14,1.12,0.98,1.38,1.48
168,2.27,2.2,1.92,2.32,2.35,3.2,2.97,2.49,2.76,2.6
169,4.67,4.4,4.31,5.43,5.93,6.29,6.38,6.44,7.99,7.91
170,4.05,3.68,3.59,4.16,3.94,4.15,3.77,3.39,4.09,3.88
171,1.11,1.03,0.8,1.04,1.06,1,1.11,0.98,1.24,1.29
172,7.12,6.39,5.91,7.98,7.9,7.82,8.65,9.94,11.9,11.87
173,2.8,2.59,2.36,2.69,2.68,2.84,2.64,2.25,2.52,2.22
174,2.84,2.87,2.7,3.16,3.36,3.41,3.31,2.38,3.26,3.4
175,2.25,2.01,1.74,1.92,2.21,2.09,2.04,1.89,2.17,2.24
176,5.46,5,4.66,5.91,5.67,5.63,5.39,5.09,6.12,6.07
177,1.74,1.57,1.46,1.61,1.79,2.02,2.01,1.97,2.28,2.26
178,0.99,0.86,0.65,1.19,1.21,1.42,1.42,2.17,4,4.39
179,1.88,1.79,1.68,1.96,1.71,1.72,1.61,1.97,2.27,2.14
180,2.36,2.56,2.44,3.3,3.3,3.1,3.17,2.87,3.52,3.25
181,2.36,2.21,2.01,2.65,2.41,2.48,2.49,2.63,3.18,3.22
182,1.74,1.5,1.29,1.4,1.06,1.04,0.93,0.95,0.99,1.05
183,1.36,1.43,1.33,1.4,1.56,3.04,3.09,1.57,1.93,2.04
184,0.91,0.85,0.83,1.01,1.08,1.03,1.19,1.44,1.8,1.83
185,4.56,4.23,3.41,4.92,4.33,3.79,3.54,4.06,5.73,5.76
186,5.03,4.87,4.65,5.19,5.18,4.69,4.36,4.24,5.2,5.23
187,1.74,1.74,1.58,1.97,1.91,1.87,2.05,1.83,2.29,2.25
188,3.02,2.88,2.48,3.16,3.5,3.78,4,4.24,5.14,5.53
189,2.05,1.44,1.08,2.13,1.82,1.55,1.57,1.97,2.59,2.6
190,2.01,1.98,1.83,2.05,2.26,3.66,3.31,1.85,2.2,2.03
191,4.34,3.72,3.32,3.76,3.69,3.24,3.21,3.12,4.12,4.01
192,2.22,3.19,2.97,3.75,4.02,4.03,4.11,4.18,5.82,5.99
193,2.11,1.87,1.72,2.09,2.18,1.01,0.96,1.62,2.12,1.79
194,5.06,5.2,4.58,5.28,5.88,6.11,6.06,5.41,6.23,6.05
195,4.34,4.2,3.59,4.28,4.45,4.67,4.55,5.42,6.88,7.3
196,4.47,4.01,3.63,3.93,4.09,3.75,3.99,4.15,4.86,4.38
197,4.11,4.1,3.56,4.52,4.56,4.13,4.21,3.87,4.59,4.54
198,1.8,1.76,1.57,1.95,1.86,1.79,1.73,1.66,2.01,1.88
199,6.17,5.98,5.79,7.51,7.27,7.39,6.66,5.17,6.98,7.11
200,1.47,1.32,1.21,1.76,1.89,1.77,1.78,1.72,2.1,2.23
201,2.81,2.5,2.12,2.75,2.73,2.51,2.58,2.82,3.5,3.56
202,5.74,5.48,4.99,6.59,6.4,4.14,3.94,6.07,6.95,6.58
203,2.98,2.81,2.71,3.23,3.49,3.55,3.51,3.12,3.88,3.69
204,2.11,1.95,1.73,2.2,2.48,2.5,2.64,2.59,3.17,3.02
205,1.32,1.17,1.16,1.5,1.69,1.64,1.69,1.96,2.44,2.35
206,2.58,2.26,1.91,2.58,2.83,2.92,3.07,3,3.3,3.01
207,1.1,0.83,0.67,1.17,1.39,1.73,1.84,2.02,2.99,3.08
208,2.32,2.39,2.21,2.38,2.52,2.71,2.76,1.99,2.79,2.64
209,4.99,4.65,4.88,6.38,6.57,6.3,6.28,6.02,7.71,7.43
210,1.08,0.56,0.6,1.09,1.34,0.82,0.88,1.38,1.85,1.63
211,4.85,4.56,4.59,4.82,4.76,4.8,4.64,4.03,4.66,4.36
212,2.57,2.33,2.18,3.04,2.99,2.12,2.57,3.39,4.39,4.89
213,1.74,1.64,1.53,1.67,1.61,1.51,1.56,1.55,1.58,1.55
215,0.84,0.79,0.62,0.73,0.82,0.73,0.83,1.06,1.31,1.27
216,0.69,0.72,0.59,0.82,0.79,0.7,0.78,0.66,1.1,0.98
217,1.23,1.19,1.06,1.32,1.18,1.31,1.48,1.5,1.83,1.87
218,3.26,2.8,2.65,2.87,2.82,2.87,2.58,1.9,2.61,2.44
219,1.19,0.92,0.88,1.33,0.89,0.94,0.97,1.64,2.46,2.55
220,3.14,2.44,2.31,2.95,2.82,3.34,3.24,2.24,2.95,3.15
221,2.86,2.34,1.93,2.48,2.93,3.45,3.43,2.96,3.82,3.59
222,1.02,0.8,0.74,0.92,0.92,1.05,1.03,0.78,1.15,1.22
223,3.5,2.92,2.58,3.25,3.25,3.91,3.74,2.87,3.13,2.88
224,3.16,2.79,2.52,3.01,2.83,3.3,2.97,2.54,3.55,3.55
225,1.63,1.53,1.38,1.85,1.45,3.33,3.15,1.37,1.72,1.68
226,0.85,0.64,0.54,0.64,0.61,0.26,0.28,0.69,0.87,0.89
227,4.92,4.51,4.36,4.86,4.58,4.69,4.74,3.79,4.89,4.62
228,1.2,1.23,1.13,1.16,1.04,0.89,0.87,1.11,1.7,1.86
229,3.36,4.43,4.67,7.56,8.21,8.4,8.23,8.73,11.86,11.84
230,1.8,1.72,1.6,2.28,2.48,2.82,2.97,2.66,3.44,3.51
231,3.3,3.37,3.38,4.37,4.06,3.95,3.91,3.85,5.18,5.17
232,5.2,4.82,4.18,4.73,4.98,4.58,4.21,4.73,6.13,5.89
233,2.73,2.53,2.18,2.88,3.15,3.1,2.91,2.61,3.38,3.46
234,6.74,7.55,7.69,8.7,8,7.97,8.1,8.51,10.16,10.05
235,2.57,2.39,2.24,2.49,2.46,2.16,2.15,2.19,2.62,2.48
236,0.8,0.75,0.64,0.74,0.71,0.6,0.55,0.49,0.72,0.62
237,5.09,4.75,4.81,5.77,6.1,5.29,5.16,4.95,6.6,6.59
238,4.75,4.76,4.28,5,4.66,4.25,4.43,4.05,5.17,4.86
240,1.18,1.02,0.88,1.35,1.34,1.79,1.93,1.55,2.24,2.21
241,1.86,1.66,1.56,1.92,1.99,2.07,2.2,2.18,2.62,2.34
242,4.01,3.48,3.22,3.41,3.28,3.05,3.22,3.16,3.88,3.85
243,0.05,0.07,0.08,0.14,,,0.5,1.82,3.52,3.97
244,3.48,3.21,2.84,3.07,3.29,3.3,3.35,2.77,3.66,3.56
245,1.99,1.94,1.67,2.01,2.18,2.46,2.42,1.7,2.61,2.37
246,3.04,2.75,2.32,2.99,2.78,1.94,2.3,2.19,2.75,2.99
247,2.39,2.09,1.6,2.38,2.15,1.31,1.48,2.39,2.38,2.34
248,2.77,2.4,1.93,2.68,2.71,2.91,3.05,2.32,2.99,2.92
249,3.66,3.65,3.27,3.98,4.15,5.31,4.96,3.43,3.84,4.07
250,2.63,2.27,2.1,2.43,2.26,2.45,2.29,0.76,0.87,0.97
251,3.52,3.36,3.07,3.42,3.3,3.2,3.27,2.74,3.51,3.28
252,1.31,1.16,0.99,1.07,0.97,1.11,0.99,0.95,1.2,1.21
253,3.43,2.85,2.61,3.34,3.41,3.6,3.65,3.13,4.01,3.8
254,0.28,0.21,0.18,0.47,0.38,0.63,0.63,0.73,1.19,1.26
255,4.67,4.05,3.42,4.55,4.61,5.1,5.25,4.61,6.15,6.54
256,2.53,2.46,2.36,3.57,4.51,5.25,6.29,8.15,11.28,12.53
257,6.2,5.75,5.09,7.05,7.91,7.99,8.71,10.37,12.87,13.16
258,6.04,5.45,5.06,5.72,6.02,6.08,5.92,4.74,5.75,5.76
259,4.35,4.01,3.34,4.16,4,3.31,3.27,3.66,4.43,4.02
260,5.69,5.47,4.75,5.55,5.39,5.09,4.79,4.59,5.52,5.25
261,3.52,3.21,2.98,3.19,2.96,3.4,3.23,2.52,3.19,3.01
262,3.08,2.87,2.62,3.13,3.31,3.27,3.16,3.17,3.8,3.88
263,2.86,2.64,2.32,2.74,2.71,2.71,2.84,2.74,3.17,3.03
264,2.62,2.47,2.33,2.97,2.89,2.66,2.88,2.68,3.4,2.81
265,2.14,2.09,1.94,2.29,2.05,1.87,1.67,1.48,1.69,1.71
266,4.94,4.53,4.19,5.13,5.13,5.62,5.43,4.7,5.61,4.87
267,8.82,8.22,7.36,8.86,8.53,8.97,8.78,7.78,9.59,9.91
268,3.27,2.89,2.6,3.05,2.99,2.73,2.82,2.74,3.34,3.23
269,3.41,2.84,2.62,3.27,3.41,3.23,3.14,3.11,3.83,3.6
270,3.28,2.78,2.26,2.39,2.45,3.24,3.07,2.41,3.22,3.43
271,2.32,1.83,1.76,1.8,1.84,2.11,1.78,1.54,1.83,1.99
272,1.65,1.45,1.21,1.78,1.32,1.47,1.73,1.19,2.08,2.17
273,2.9,2.35,2.05,2.28,2.2,2.23,2.35,2.7,3.75,3.79
