id,y_2013,y_2020,y_2021,y_2022,y_2023
2,3634.85,3311.0,4300.66,4700.791386,4117.0
3,13362.96,15138.0,19524.19,15481.20395,16197.0
4,3424.6,4135.0,4417.38,4221.965831,3022.0
5,1399.18,1515.0,1875.69,1872.688508,1411.0
6,4801.75,5000.0,6369.13,5691.811086,4748.0
7,4065.81,4665.0,4609.26,3352.287753,2936.0
8,3622.74,3324.0,4266.63,4324.226208,3986.0
9,1588.44,2439.0,2568.47,2774.912427,2140.0
10,11119.95,11280.0,13537.86,12257.5303,11454.0
11,5545.7,7175.0,7176.91,6405.04153,6891.0
12,,,,,
13,4195.45,4840.0,5375.4,4686.382302,4574.0
14,4548.05,6455.0,5530.85,6206.778966,5879.0
15,5425.86,6582.0,7626.0,7114.948145,6938.0
16,7770.3,10560.0,10975.4,11363.51659,10489.0
17,6395.34,6702.0,7343.71,6163.292679,6750.0
18,5852.27,7436.0,8051.49,8235.512007,7580.0
19,10487.29,11505.0,10843.69,12466.8832,11060.0
20,5238.9,5868.0,6117.89,5812.908331,4922.0
21,2483.89,2702.0,2846.13,3016.98263,2833.0
22,1449.7,1570.0,1550.54,1367.452805,1447.0
23,1426.85,1967.0,1786.41,2248.731533,1967.0
24,2486.74,2158.0,2964.69,2696.877575,2590.0
25,6589.21,8661.0,9191.34,9938.089666,7490.0
26,,,,,
27,4638.63,5232.0,5988.35,6504.243425,5124.0
28,2657.64,3199.0,4107.38,3729.153468,3468.0
29,3609.75,4001.0,3703.19,4004.967268,4133.0
30,843.78,786.0,1048.38,1016.893102,947.0
31,4648.0,4801.0,5165.3,7014.003957,4443.0
32,1034.36,1231.0,1368.99,994.4164788,996.0
33,209.86,276.0,342.56,286.5688633,276.0
34,4598.52,8461.0,8698.39,9541.667789,9233.0
35,,,,,
36,7273.92,8143.0,8298.06,5603.951962,8518.0
37,4249.21,5157.0,5379.11,5014.373713,4919.0
38,4812.33,5387.0,6104.86,5041.589893,5851.0
39,6372.05,7538.0,9026.21,9065.049562,8220.0
40,3402.36,5881.0,7667.64,8821.768221,5752.0
41,2594.9,2671.0,3035.4,3074.724455,2766.0
42,3639.56,3275.0,3971.12,4826.736204,3706.0
43,3500.77,3082.0,3981.76,3692.603187,3132.0
44,1453.64,1268.0,2184.25,1278.265439,1336.0
45,6185.37,8723.0,8246.75,9211.176754,7699.0
46,2809.97,3243.0,3336.89,3221.365608,3063.0
47,140.27,215.0,151.42,166.7573248,177.0
