id,y_2011,y_2013,y_2015,y_2016,y_2020,y_2022,y_2023
2,140,63,149,58,67,91,114
3,673,190,269,64,97,191,214
4,13,9,2,7,13,14,9
5,90,58,100,91,90,53,32
6,447,268,326,217,242,276,299
7,2,10,16,22,23,2,15
8,74,45,129,41,32,132,165
9,92,60,44,46,32,69,58
10,640,476,650,376,171,647,587
11,65,31,51,19,24,124,49
12,24,16,60,11,6,37,42
13,358,66,135,94,151,95,162
14,65,67,205,180,68,124,105
15,58,38,221,92,79,93,69
16,525,493,291,153,244,154,382
17,560,160,227,281,131,313,312
18,46,38,59,65,97,63,76
19,55,42,68,33,65,132,64
20,51,15,17,17,14,24,23
21,349,127,184,150,127,273,721
22,141,91,106,73,64,115,204
23,75,40,68,60,24,66,75
24,138,15,44,77,83,53,61
25,268,18,178,64,61,88,123
26,3,3,5,1,0,2,0
27,142,51,65,62,43,96,98
28,8,11,18,25,13,21,22
29,28,5,74,18,26,22,26
30,45,29,91,65,39,110,139
31,8,6,9,2,10,21,48
32,11,2,8,6,7,4,9
33,20,1,14,3,9,58,40
34,177,99,121,135,165,107,196
35,9,2,47,0,0,6,42
36,85,60,101,80,112,107,120
37,486,324,287,214,150,331,399
38,55,29,87,64,48,123,80
39,429,129,101,150,166,228,214
40,306,108,177,137,89,178,255
41,109,33,84,26,30,54,46
42,4,4,7,5,6,5,11
43,18,9,22,3,9,14,46
44,2,1,2,0,3,8,6
45,7,23,74,67,59,112,67
46,105,64,80,97,52,80,56
47,3,4,3,2,8,2,3
48,51,13,16,32,6,11,44
49,55,24,35,21,17,61,41
50,238,100,140,98,48,83,154
51,82,63,135,21,66,119,105
52,132,25,122,89,80,169,273
53,355,236,374,278,179,362,255
54,211,368,318,481,208,264,208
55,71,49,106,44,56,31,120
56,6,4,17,2,8,13,10
57,76,27,27,7,22,4,13
58,67,58,37,10,67,19,93
59,183,84,152,54,47,104,130
60,32,8,30,19,11,21,21
61,78,48,79,102,50,68,63
62,0,0,,0,,,
64,121,97,164,137,92,70,95
65,0,2,3,5,7,29,10
66,7,3,20,0,4,60,34
67,2,0,7,3,8,22,5
68,84,79,158,120,70,83,59
69,14,11,3,6,12,18,24
70,252,126,99,175,135,153,157
71,119,53,133,76,45,157,76
72,6,9,23,6,15,35,24
73,202,50,83,23,77,50,116
74,12,2,32,5,6,70,23
75,0,1,5,1,1,4,6
76,56,32,20,2,13,18,71
77,79,209,82,43,28,50,44
78,105,69,45,10,7,57,90
79,10,2,8,4,5,17,8
80,11,1,,1,10,13,5
81,59,17,99,92,18,58,23
82,20,23,86,11,25,68,27
83,3,0,11,0,0,0,0
84,4,0,6,5,4,1,3
85,559,362,408,226,200,439,334
86,45,9,115,13,13,59,27
87,69,43,62,62,61,128,143
88,272,150,185,256,163,157,171
89,303,190,173,80,58,109,93
90,105,54,108,70,58,68,123
91,254,257,203,136,71,131,126
92,4,8,63,3,30,51,55
93,0,2,12,3,8,11,24
94,292,122,111,354,179,293,210
95,62,39,127,67,33,61,65
96,216,68,244,112,71,213,100
97,291,28,37,35,29,104,121
98,100,39,43,44,284,284,208
99,128,99,128,108,87,220,218
100,251,60,164,123,74,238,168
101,39,12,30,14,21,22,49
102,335,76,65,81,38,140,111
103,116,62,67,62,70,188,294
105,58,8,54,39,16,37,13
106,68,50,141,49,30,192,204
107,20,4,10,5,7,11,27
108,46,20,50,,,14,46
109,6,3,34,0,0,29,22
110,14,17,32,9,12,56,101
111,61,42,134,68,56,94,90
112,7,7,10,5,2,8,52
113,173,130,176,135,302,140,173
114,111,54,117,187,100,97,167
115,40,24,34,3,27,91,57
116,213,61,77,,,335,315
117,301,167,204,123,228,142,177
118,10,8,9,,,10,2
119,113,82,95,46,53,116,143
120,119,73,158,134,137,97,287
121,242,277,307,355,228,421,332
122,,,,,,,
123,98,108,84,69,127,155,139
124,284,105,271,95,233,240,242
125,239,127,175,135,154,291,403
126,10,4,9,3,10,19,51
127,142,61,89,73,66,74,103
128,242,159,217,311,114,298,319
129,14,5,57,6,16,134,32
130,1,0,12,1,0,,0
131,161,21,37,35,59,30,58
132,95,30,93,53,39,47,89
133,17,6,9,11,5,22,30
134,126,64,38,80,52,71,124
135,9,3,12,2,13,13,38
136,21,47,40,18,17,29,92
137,144,78,79,91,218,158,88
138,104,91,118,92,51,124,272
139,247,115,103,107,109,201,223
140,301,87,178,130,148,210,184
141,105,111,73,43,102,228,238
142,399,59,309,136,73,354,191
143,6,11,15,6,9,14,3
144,32,83,11,33,6,17,25
145,38,14,14,11,26,14,13
146,165,95,97,62,88,112,135
147,173,57,137,33,86,80,132
148,24,11,24,8,21,21,27
149,3,4,35,1,7,12,8
150,59,60,65,56,63,70,112
151,19,13,14,5,23,63,60
152,47,7,41,37,26,47,27
153,81,20,37,51,52,96,76
154,46,63,68,50,37,70,54
155,172,113,112,143,118,145,112
156,130,92,130,192,100,102,151
157,335,99,103,104,65,115,95
158,252,135,279,170,183,146,272
159,171,53,162,124,112,133,223
160,204,169,205,262,157,191,251
161,3,1,4,0,6,11,2
162,211,96,211,112,137,180,163
163,142,51,47,17,33,40,52
164,278,179,286,136,151,179,363
165,61,104,110,106,44,38,103
166,36,22,24,22,17,45,123
167,19,14,21,11,19,49,72
168,132,86,93,153,78,136,161
169,2,1,3,1,1,21,9
170,4,2,5,2,10,50,15
171,10,2,12,1,12,45,29
172,4,3,13,6,16,36,32
173,133,91,88,35,93,68,105
174,52,22,58,74,39,60,84
175,28,10,44,20,42,30,29
176,69,13,14,15,28,58,63
177,41,17,19,7,10,56,57
178,15,2,53,30,57,55,121
179,27,7,35,25,38,15,26
180,175,85,125,102,44,67,188
181,15,10,35,19,25,51,45
182,177,40,81,50,46,51,56
183,38,34,20,18,11,17,52
184,181,32,153,32,38,107,88
185,26,6,54,5,5,23,23
186,382,228,212,114,64,145,251
187,3,1,3,1,2,16,24
188,42,7,7,4,14,30,31
189,0,0,4,0,0,2,0
190,160,93,84,63,99,55,112
191,22,27,18,10,8,45,61
192,141,49,34,80,70,66,144
193,13,9,22,17,33,15,17
194,21,2,10,,,1,9
195,11,6,9,9,11,10,3
196,199,80,135,52,73,131,181
197,112,67,57,47,48,74,133
198,23,22,28,22,40,9,25
199,96,25,126,35,56,157,135
200,13,9,5,8,7,17,30
201,21,5,27,10,8,16,22
202,138,90,136,143,40,74,197
203,3,34,25,19,21,48,43
204,5,3,16,1,20,19,23
205,4,0,1,2,16,4,4
206,1,3,9,0,3,1,1
207,1,3,19,2,4,32,34
208,23,16,15,5,36,39,49
209,65,24,80,41,34,91,92
210,2,6,15,3,8,4,6
211,99,59,121,60,59,135,152
212,117,109,186,202,115,151,89
213,23,19,25,24,72,49,17
215,12,15,7,5,13,13,9
216,8,10,17,4,15,10,14
217,15,8,8,14,25,7,19
218,61,23,52,28,43,55,34
219,32,23,47,99,39,131,158
220,127,100,98,82,45,117,72
221,90,19,51,51,83,48,34
222,21,7,18,9,18,9,6
223,489,217,171,169,131,271,192
224,28,8,8,13,11,17,24
225,2,0,1,0,0,,0
226,50,10,11,25,20,23,20
227,140,37,116,50,229,408,356
228,0,0,1,0,0,18,8
229,5,83,101,60,207,452,443
230,126,196,303,353,107,122,83
231,42,9,6,15,35,76,29
232,166,69,201,218,67,148,120
233,24,14,22,6,15,26,20
234,222,123,91,104,154,142,228
235,62,21,40,23,62,46,101
236,2,2,3,1,0,14,2
237,137,132,166,173,155,195,243
238,168,149,182,211,171,229,260
240,153,85,169,120,164,373,400
241,5,2,6,1,8,23,8
242,104,37,77,32,153,218,136
243,4,2,1,1,42,53,25
244,155,66,145,60,199,266,84
245,99,35,71,53,40,46,85
246,45,19,44,19,38,45,50
247,8,3,5,12,18,71,149
248,24,0,20,15,12,14,37
249,79,18,24,18,16,76,61
250,24,13,29,29,28,25,12
251,88,44,50,79,55,88,45
252,25,16,35,15,7,13,12
