id,y_2011,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021,y_2022,y_2023
2,223,204,205,205,353,349,347,345,682,689
3,2540,2565,3118,3113,3349,4611,6899,6908,7409,5863
4,85,52,52,52,52,67,74,52,73,73
5,116,45,45,43,31,24,27,29,28,28
6,671,550,547,548,544,411,376,531,385,384
7,180,198,199,200,202,183,191,475,475,560
8,108,127,135,135,135,151,187,185,186,187
9,299,246,243,246,249,282,255,254,253,282
10,1096,1245,1245,1246,1245,1036,1099,1243,1175,1094
11,689,675,675,767,772,745,754,758,766,779
12,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,257,258,261,260,256,260
14,969,1012,1011,1010,1011,960,1012,0,0,1018
15,0,0,0,0,0,0,0,0,0,0
16,73,409,409,344,344,333,356,337,333,665
17,0,472,472,470,946,913,947,947,944,944
18,8,497,497,498,439,419,449,471,517,587
19,510,607,607,607,607,509,608,607,608,608
20,1077,1009,1009,1009,1009,1081,394,394,396,698
21,483,0,0,0,445,533,2,498,23,44
22,85,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0
25,230,296,296,296,296,0,359,359,359,359
26,146,136,136,136,140,140,136,140,136,140
27,659,674,674,674,674,673,677,677,532,674
28,273,343,343,342,344,319,376,380,380,385
29,0,0,0,0,0,0,0,0,0,0
30,0,0,146,275,595,613,708,715,725,956
31,0,162,160,161,164,136,171,171,170,171
32,220,220,220,220,220,220,220,220,220,318
33,390,587,391,391,587,390,587,0,0,586
34,227,253,257,261,257,244,585,590,594,621
35,0,0,0,0,0,0,0,0,0,0
36,188,223,393,393,482,443,478,778,778,778
37,0,100,99,99,113,0,0,0,0,0
38,289,271,271,271,271,332,264,301,335,390
39,309,111,111,112,143,108,142,142,143,143
40,730,762,762,767,810,805,648,844,651,45
41,95,382,334,338,386,198,386,386,386,398
42,27,46,46,46,46,28,46,46,46,0
43,376,403,403,403,403,390,403,403,401,0
44,0,2,2,2,2,0,2,2,2,0
45,0,0,0,0,60,44,767,774,0,774
46,865,925,925,925,925,863,924,924,924,0
47,631,640,640,639,591,595,596,601,602,597
48,0,111,109,109,100,105,94,94,94,94
49,0,0,0,0,0,0,0,0,0,0
50,744,783,784,784,783,735,625,625,632,632
51,0,0,0,0,0,0,0,0,0,0
52,374,686,349,0,0,0,660,0,662,688
53,0,295,295,295,295,388,294,294,294,294
54,39,5,5,5,14,41,13,13,13,13
55,83,30,30,30,30,85,30,30,30,56
56,305,332,337,337,337,301,348,348,343,348
57,572,634,634,0,0,0,319,0,809,809
58,133,398,398,398,398,260,395,395,395,395
59,44,238,238,238,238,280,252,252,252,252
60,0,0,0,0,0,0,0,0,0,0
61,0,3,3,3,3,0,3,4,3,0
62,,,,,,,0,0,0,0
64,704,723,816,794,1312,1312,988,988,988,988
65,0,0,0,0,0,0,0,1010,1010,1210
66,1256,1263,1353,1353,1353,1353,1353,1353,1353,1664
67,0,0,0,0,0,0,0,854,854,854
68,524,547,548,548,631,551,629,629,629,629
69,591,600,481,564,564,555,927,845,846,846
70,229,357,355,355,354,211,352,353,351,353
71,544,536,537,537,537,880,866,526,866,881
72,234,550,549,549,547,676,532,532,557,263
73,52,67,67,67,67,51,67,66,66,72
74,508,512,512,512,512,508,512,512,512,512
75,620,652,708,708,353,743,348,348,348,348
76,15,4,4,3,3,17,8,2,2,8
77,994,1146,1220,1220,1219,1215,1284,1306,1318,1361
78,265,265,264,264,264,264,264,813,813,264
79,0,518,518,518,518,679,518,518,518,518
80,0,0,0,0,0,0,0,979,1023,1364
81,0,11,11,11,17,16,17,323,404,17
82,368,322,322,524,524,589,524,524,524,523
83,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0
85,248,278,277,276,275,239,265,263,269,270
86,0,0,0,0,286,11,287,287,2276,2349
87,0,36,36,36,200,176,205,205,430,430
88,0,0,0,0,0,0,0,0,0,0
89,329,303,303,302,303,0,300,302,301,301
90,0,51,51,51,527,534,524,525,51,52
91,0,0,0,0,0,0,0,0,0,0
92,909,1032,1206,1220,1220,1476,1383,1407,1461,1461
93,620,620,620,620,620,620,620,620,484,1040
94,0,124,124,124,124,86,123,123,292,292
95,413,420,420,420,420,406,420,420,420,420
96,252,504,769,812,872,288,1046,1046,1046,1364
97,168,66,66,66,77,218,325,436,436,266
98,9,9,9,9,9,9,9,9,9,9
99,182,200,200,0,0,0,217,0,217,217
100,247,285,285,283,260,247,283,261,283,0
101,0,0,0,0,0,0,0,432,0,0
102,0,268,269,269,406,347,408,408,332,331
103,0,0,0,0,0,0,0,758,0,0
105,0,0,0,0,0,111,184,0,184,184
106,720,722,722,722,722,722,724,724,723,711
107,0,416,416,416,0,0,0,15,15,0
108,0,0,0,0,0,0,0,0,0,0
109,328,385,393,421,448,392,651,660,652,661
110,251,251,250,251,251,246,246,729,10,785
111,0,0,0,0,314,249,329,329,0,329
112,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0
115,476,212,212,212,212,379,212,212,212,509
116,833,800,798,796,941,1017,1222,1279,1564,1972
117,318,318,318,318,302,318,318,318,318,318
118,0,0,0,0,0,0,0,0,0,0
119,111,127,127,127,127,127,128,129,129,132
120,0,0,0,0,0,0,0,0,0,0
121,30,1,1,1,1,38,1,1,1,1
122,,,,,,,,,0,0
123,14,14,14,14,14,14,13,13,13,12
124,744,828,828,826,823,734,1000,974,938,1161
125,0,0,0,211,0,0,0,362,0,362
126,1,0,0,0,0,1,24,68,0,0
127,661,650,650,650,650,162,152,152,0,152
128,39,80,80,80,81,27,0,81,0,0
129,99,200,200,200,200,110,200,200,199,150
130,0,0,0,0,0,0,0,0,0,0
131,0,123,135,136,0,0,0,71,71,0
132,246,247,249,249,247,241,246,253,252,254
133,498,498,577,578,277,275,275,275,274,276
134,155,168,168,168,168,0,196,197,197,199
135,0,0,0,0,0,0,0,0,0,0
136,74,25,26,26,26,80,24,0,0,0
137,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0
139,95,90,90,90,90,93,88,88,88,89
140,217,143,144,143,143,143,142,142,142,144
141,0,0,0,0,0,0,0,0,0,0
142,190,533,533,533,533,186,535,535,535,0
143,77,56,56,56,56,80,57,57,57,57
144,498,473,498,502,506,509,500,502,446,519
145,31,51,51,51,51,18,51,51,51,51
