id,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
2,11,6,10,12,9,18,14,7,10,6,12
3,21,32,21,21,35,34,31,30,35,40,38
4,5,6,9,8,11,17,17,9,11,6,10
5,4,5,8,8,10,,,5,6,3,5
6,9,13,11,18,14,16,18,9,3,12,19
7,5,7,12,,11,12,,9,14,18,8
8,,,,,,,,6,5,9,10
9,,,,,,,,,,,
10,20,14,14,17,23,,,8,12,15,9
11,10,18,12,10,13,18,19,24,15,30,21
12,15,17,21,28,32,19,23,36,33,31,25
13,11,9,6,10,10,,10,14,10,15,25
14,36,35,31,43,38,47,36,53,30,41,48
15,8,10,12,8,16,,15,12,14,11,9
16,35,36,30,44,38,39,45,39,33,35,43
17,31,34,21,30,31,24,36,27,20,29,24
18,15,10,16,22,22,26,26,29,30,19,30
19,25,13,22,30,23,31,29,18,29,25,28
20,28,26,33,17,34,20,24,34,27,27,29
21,6,12,18,26,24,9,12,23,21,11,22
22,2,,,,,,,5,,,
23,15,9,6,8,11,,,12,10,8,9
24,10,6,6,10,11,,,7,5,4,
25,21,40,30,34,45,44,27,37,34,47,48
26,37,35,35,23,21,21,22,22,23,28,13
27,35,25,34,34,42,39,34,38,52,29,44
28,,6,4,8,,,14,12,10,8,15
29,4,14,8,13,10,13,,17,9,10,12
30,12,8,11,15,11,9,10,13,9,5,12
31,15,14,21,19,20,17,,20,17,15,23
32,5,,,,,,,,,,
33,8,,4,6,,,,5,6,6,7
34,17,18,14,17,18,20,19,27,23,35,36
35,10,5,9,10,,8,9,19,8,9,19
36,24,11,21,11,15,12,10,15,12,8,18
37,9,16,14,5,15,,11,8,6,7,5
38,27,19,21,19,23,23,17,16,21,12,21
39,42,32,30,33,41,28,31,47,44,36,33
40,24,22,17,23,24,12,20,34,33,15,19
41,4,16,13,18,16,,,8,7,10,8
42,9,4,10,11,10,15,15,18,16,13,21
43,13,8,7,13,13,12,,17,16,13,15
44,,,,,,,,,,,
45,22,17,15,32,27,37,45,55,52,43,51
46,18,20,18,13,16,19,16,23,17,14,21
47,,,,,,,,,,,
48,25,25,20,33,27,10,12,11,19,22,20
49,19,20,21,21,30,18,23,22,15,16,19
50,33,34,20,30,33,22,24,41,26,22,28
51,5,,,4,,,,,,,
52,13,10,10,11,13,,,17,10,14,8
53,17,16,27,21,25,30,26,22,22,23,21
