id,y_2017,y_2018,y_2020,y_2021,y_2023,y_2024
2,0,0,0,0,0,0
3,18,17,13,12,12,14
4,4,4,3,2,3,1
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,4,3,3,3,0,1
8,1,0,0,1,2,2
9,0,1,2,1,0,0
10,4,3,4,3,1,1
11,5,4,3,2,6,6
12,0,0,0,0,0,0
13,1,1,2,2,1,1
14,4,5,5,6,1,3
15,6,2,4,3,1,2
16,0,0,0,1,0,4
17,3,3,1,0,1,0
18,3,4,1,2,2,3
19,2,3,4,4,3,3
20,1,1,3,5,1,2
21,0,0,0,0,1,1
22,0,0,0,0,1,1
23,0,0,0,0,0,0
24,1,1,2,2,0,1
25,1,1,1,2,2,1
26,2,2,1,1,3,1
27,0,1,0,0,1,0
28,5,3,1,1,3,2
29,2,2,1,1,1,2
30,1,1,1,1,1,1
31,5,4,2,0,0,3
32,0,0,0,0,0,0
33,1,0,0,0,0,0
34,1,1,2,2,1,1
35,2,2,3,2,0,0
36,1,1,2,1,2,2
37,1,1,3,4,3,3
38,0,0,1,1,3,2
39,0,0,2,2,2,2
40,1,1,0,1,0,1
41,0,0,2,1,1,1
42,2,2,1,2,1,1
43,1,1,0,0,0,1
44,1,1,1,0,0,0
45,5,5,1,1,6,5
46,0,0,0,0,0,0
47,0,0,0,0,1,1
48,0,0,0,0,0,0
49,1,1,1,1,1,1
50,0,0,0,0,0,0
51,4,4,3,5,6,6
52,0,0,0,0,0,1
53,0,0,0,0,1,1
54,0,0,0,0,0,0
55,2,1,1,1,0,1
56,0,0,0,0,1,1
57,0,0,0,0,0,0
58,0,0,0,0,1,2
59,0,0,1,2,0,1
60,0,0,0,0,0,0
61,0,0,0,0,0,0
62,1,1,0,0,0,0
64,0,1,3,2,0,0
65,2,2,1,1,0,0
66,1,1,2,2,0,1
67,0,0,0,0,1,1
68,0,0,0,0,1,1
69,0,0,1,1,1,1
70,2,3,1,1,2,1
71,0,0,0,0,0,0
72,0,0,0,0,0,0
73,2,1,1,0,0,0
74,3,1,2,3,1,1
75,1,1,1,1,0,0
76,0,0,0,0,0,1
77,3,3,1,2,0,1
78,0,0,0,0,0,0
79,0,0,0,0,0,0
80,2,1,1,0,0,0
81,0,0,0,0,0,0
82,2,2,1,2,1,1
83,0,0,0,0,1,1
84,0,0,0,0,0,0
85,1,1,0,0,1,1
86,1,1,0,0,0,0
87,3,4,3,2,1,1
88,0,0,0,0,1,0
89,1,1,1,0,0,0
90,1,0,0,0,0,1
91,1,2,2,3,2,2
92,1,1,0,0,1,0
93,3,3,1,1,0,1
94,0,1,2,1,0,0
95,2,1,0,0,1,0
96,2,1,1,1,2,3
97,2,3,0,0,0,0
98,0,0,0,0,2,1
99,1,1,0,0,2,1
100,2,2,1,2,1,0
101,1,1,1,2,1,1
102,0,0,0,0,0,0
103,0,0,0,1,0,0
105,1,2,2,1,2,3
106,0,0,0,0,0,0
107,0,0,0,0,1,1
108,0,0,0,0,0,0
109,2,0,1,0,1,0
110,0,0,0,0,2,1
111,1,2,1,1,2,3
112,0,0,0,0,0,1
113,1,2,3,4,2,3
114,0,0,0,0,0,0
115,3,3,5,6,3,4
116,1,1,4,4,3,4
117,0,1,0,0,4,1
118,3,3,1,1,1,3
119,0,0,0,0,0,0
120,0,0,0,0,0,0
121,0,1,0,0,0,0
122,,,,,,
123,3,3,3,1,1,0
124,0,0,0,0,1,1
125,1,1,0,0,0,1
126,2,4,3,4,1,2
127,0,0,0,1,0,1
128,0,0,0,0,0,0
129,2,1,0,1,1,0
130,1,1,0,0,2,1
131,0,1,0,0,2,2
132,0,0,0,0,0,0
133,0,0,0,0,0,0
134,0,0,0,0,0,0
135,0,0,0,0,1,1
136,0,0,0,0,0,0
137,1,0,0,0,0,0
138,1,1,1,1,0,0
139,0,0,0,0,0,0
140,1,1,0,0,1,1
141,0,0,1,1,1,1
142,0,0,0,0,0,0
143,0,0,0,0,0,0
144,0,0,0,0,1,0
145,0,0,0,0,0,0
146,1,0,0,0,2,1
147,0,0,0,0,1,1
148,4,3,4,3,1,0
149,0,0,0,0,1,0
150,0,0,0,1,0,1
151,1,2,1,0,2,3
152,0,0,0,0,0,0
153,1,1,1,1,1,2
154,1,2,1,1,3,2
155,0,0,0,0,0,0
156,0,1,0,0,0,0
157,1,3,5,4,2,2
158,1,1,3,2,0,2
159,0,0,0,0,0,0
160,0,0,0,0,0,1
161,1,1,2,1,2,2
162,1,1,1,0,0,0
163,0,0,4,3,1,1
164,1,1,2,3,2,2
165,2,2,3,2,0,1
166,0,0,1,1,1,1
167,0,0,0,0,0,0
168,1,1,1,1,1,2
169,0,0,1,1,2,2
170,0,2,1,1,0,0
171,1,1,0,0,1,0
172,1,3,0,0,2,2
173,0,0,0,0,1,0
174,3,3,4,2,1,1
175,2,2,3,3,3,6
176,5,3,2,2,2,3
177,0,0,1,0,1,1
178,0,0,2,3,3,3
179,2,3,2,2,1,1
180,0,0,0,0,0,0
181,3,3,7,5,2,3
182,0,0,0,0,0,0
183,0,0,0,0,0,0
184,8,7,2,0,3,3
185,0,0,0,0,0,0
